"",epoch,loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,loss_scale,wall,train_wall,ke_loss,mlm_loss
46,57,1.205,2.30,7707,0,1234385.6,4509.6,235,0.000530,7.859,0.0,0.0,4.0,38350,102876,0.512536,0.692134
47,58,0.592,1.51,7824,0,1234385.6,4509.6,240,0.000527,1.312,0.0,0.0,4.0,39166,103639,0.495178,0.096804
48,59,0.498,1.41,7774,0,1234385.6,4509.6,245,0.000524,0.679,0.0,0.0,4.0,39985,104403,0.467914,0.029849
49,60,0.458,1.37,7796,0,1234385.6,4509.6,250,0.000522,0.564,0.0,0.0,4.0,40802,105170,0.443366,0.014438
50,61,0.429,1.35,7813,0,1234385.6,4509.6,255,0.000519,0.464,0.0,0.0,4.0,41619,105936,0.421339,0.007637
51,62,0.412,1.33,7819,0,1234385.6,4509.6,260,0.000517,0.507,0.0,0.0,8.0,42434,106697,0.407775,0.004629
52,63,0.399,1.32,7751,0,1234385.6,4509.6,265,0.000514,0.446,0.0,0.0,8.0,43254,107465,0.395326,0.003810
53,64,0.389,1.31,7594,0,1234385.6,4509.6,270,0.000511,0.483,0.0,0.0,8.0,44091,108244,0.387030,0.002412
54,65,0.381,1.30,7737,0,1234385.6,4509.6,275,0.000509,0.521,0.0,0.0,8.0,44914,109015,0.378981,0.001700
55,66,0.375,1.30,7804,0,1234385.6,4509.6,280,0.000506,0.405,0.0,0.0,8.0,45730,109780,0.373963,0.001353
56,67,0.370,1.29,7797,0,1234385.6,4509.6,285,0.000503,0.294,0.0,0.0,8.0,46547,110544,0.369220,0.001198
57,68,0.367,1.29,7806,0,1234385.6,4509.6,290,0.000501,0.364,0.0,0.0,8.0,47364,111307,0.365594,0.001052
58,69,0.363,1.29,7771,0,1234385.6,4509.6,295,0.000498,0.326,0.0,0.0,8.0,48183,112075,0.362192,0.001083
59,70,0.361,1.28,7785,0,1234385.6,4509.6,300,0.000496,0.379,0.0,0.0,8.0,49001,112841,0.359697,0.000863
60,71,0.361,1.28,7765,0,1234385.6,4509.6,305,0.000493,0.572,0.0,0.0,8.0,49821,113608,0.359858,0.000840
61,72,0.356,1.28,7860,0,1234385.6,4509.6,310,0.000490,0.337,0.0,0.0,8.0,50635,114368,0.354708,0.000801
62,73,0.354,1.28,7964,0,1234385.6,4509.6,315,0.000488,0.459,0.0,0.0,8.0,51424,115109,0.353614,0.000617
63,74,0.352,1.28,7780,0,1234385.6,4509.6,320,0.000485,0.459,0.0,0.0,8.0,52243,115876,0.351528,0.000829
64,75,0.350,1.27,7747,0,1234385.6,4509.6,325,0.000483,0.353,0.0,0.0,8.0,53061,116642,0.349760,0.000736
65,76,0.350,1.27,7773,0,1234385.6,4509.6,330,0.000480,0.492,0.0,0.0,8.0,53881,117409,0.349789,0.000606
66,77,0.349,1.27,7672,0,1234385.6,4509.6,335,0.000477,0.482,0.0,0.0,8.0,54707,118179,0.348126,0.000588
67,78,0.347,1.27,7734,0,1234385.6,4509.6,340,0.000475,0.317,0.0,0.0,8.0,55542,118955,0.346482,0.000530
68,79,0.344,1.27,7821,0,1234385.6,4509.6,345,0.000472,0.264,0.0,0.0,8.0,56354,119712,0.343274,0.000479
69,80,0.344,1.27,7824,0,1234385.6,4509.6,350,0.000470,0.366,0.0,0.0,8.0,57167,120469,0.343443,0.000466
70,81,0.345,1.27,7836,0,1234385.6,4509.6,355,0.000467,0.614,0.0,0.0,8.0,57975,121226,0.344541,0.000588
71,82,0.344,1.27,7771,0,1234385.6,4509.6,360,0.000464,0.654,0.0,0.0,8.0,58795,121994,0.343657,0.000440
72,83,0.342,1.27,7836,0,1234385.6,4509.6,365,0.000462,0.412,0.0,0.0,8.0,59603,122751,0.341973,0.000463
73,84,0.339,1.27,7764,0,1234385.6,4509.6,370,0.000459,0.264,0.0,0.0,8.0,60423,123519,0.339105,0.000390
74,85,0.338,1.26,7782,0,1234385.6,4509.6,375,0.000457,0.341,0.0,0.0,8.0,61243,124284,0.337469,0.000566
75,86,0.337,1.26,7788,0,1234385.6,4509.6,380,0.000454,0.306,0.0,0.0,8.0,62061,125048,0.336175,0.000442
76,87,0.336,1.26,7834,0,1234385.6,4509.6,385,0.000451,0.254,0.0,0.0,16.0,62875,125810,0.335673,0.000724
77,88,0.341,1.27,7859,0,1234385.6,4509.6,390,0.000449,0.712,0.0,0.0,16.0,63688,126571,0.340113,0.000503
78,89,0.343,1.27,7803,0,1234385.6,4509.6,395,0.000446,0.939,0.0,0.0,16.0,64505,127334,0.343043,0.000446
79,90,0.337,1.26,7795,0,1234385.6,4509.6,400,0.000443,0.534,0.0,0.0,16.0,65322,128098,0.336501,0.000663
80,91,0.335,1.26,7750,0,1234385.6,4509.6,405,0.000441,0.425,0.0,0.0,16.0,66144,128866,0.334199,0.000533
81,92,0.335,1.26,7797,0,1234385.6,4509.6,410,0.000438,0.526,0.0,0.0,16.0,66960,129630,0.335079,0.000413
82,93,0.331,1.26,7810,0,1234385.6,4509.6,415,0.000436,0.396,0.0,0.0,16.0,67778,130393,0.331089,0.000365
83,94,0.336,1.26,7720,0,1234385.6,4509.6,420,0.000433,0.646,0.0,0.0,16.0,68604,131165,0.335943,0.000416
84,95,0.330,1.26,7792,0,1234385.6,4509.6,425,0.000430,0.353,0.0,0.0,16.0,69419,131929,0.329686,0.000327
85,96,0.329,1.26,7720,0,1234385.6,4509.6,430,0.000428,0.302,0.0,0.0,16.0,70243,132700,0.328921,0.000330
86,97,0.329,1.26,7734,0,1234385.6,4509.6,435,0.000425,0.373,0.0,0.0,16.0,71070,133473,0.328869,0.000254
87,98,0.330,1.26,7713,0,1234385.6,4509.6,440,0.000423,0.343,0.0,0.0,16.0,71894,134245,0.329375,0.000357
88,99,0.336,1.26,7675,0,1234385.6,4509.6,445,0.000420,0.748,0.0,0.0,16.0,72722,135017,0.335696,0.000295
89,100,0.333,1.26,7698,0,1234385.6,4509.6,450,0.000417,0.497,0.0,0.0,16.0,73549,135790,0.332703,0.000261
90,101,0.332,1.26,7654,0,1234385.6,4509.6,455,0.000415,0.570,0.0,0.0,16.0,74382,136565,0.331796,0.000259
91,102,0.330,1.26,7666,0,1234385.6,4509.6,460,0.000412,0.475,0.0,0.0,16.0,75213,137340,0.329856,0.000304
92,103,0.328,1.26,7723,0,1234385.6,4509.6,465,0.000410,0.384,0.0,0.0,16.0,76037,138109,0.327492,0.000295
93,104,0.328,1.25,7725,0,1234385.6,4509.6,470,0.000407,0.339,0.0,0.0,16.0,76861,138878,0.327280,0.000289
94,105,0.326,1.25,7713,0,1234385.6,4509.6,475,0.000404,0.300,0.0,0.0,16.0,77689,139651,0.325462,0.000271
95,106,0.326,1.25,7504,0,1234385.6,4509.6,480,0.000402,0.287,0.0,0.0,16.0,78533,140435,0.325074,0.000704
96,107,0.323,1.25,7592,0,1234385.6,4509.6,485,0.000399,0.266,0.0,0.0,16.0,79374,141217,0.322167,0.000494
97,108,0.322,1.25,7856,0,1234385.6,4509.6,490,0.000397,0.418,0.0,0.0,16.0,80192,141980,0.322081,0.000369
98,109,0.324,1.25,7669,0,1234385.6,4509.6,495,0.000394,0.527,0.0,0.0,16.0,81013,142748,0.323619,0.000346
99,110,0.324,1.25,7620,0,1234385.6,4509.6,500,0.000391,0.472,0.0,0.0,16.0,81848,143528,0.323876,0.000333
100,111,0.322,1.25,7609,0,1234385.6,4509.6,505,0.000389,0.432,0.0,0.0,16.0,82687,144310,0.321829,0.000343
101,112,0.322,1.25,7608,0,1234385.6,4509.6,510,0.000386,0.474,0.0,0.0,16.0,83523,145090,0.321902,0.000302
102,113,0.321,1.25,7675,0,1234385.6,4509.6,515,0.000383,0.237,0.0,0.0,32.0,84354,145864,0.320425,0.000328
103,114,0.320,1.25,7607,0,1234385.6,4509.6,520,0.000381,0.271,0.0,0.0,32.0,85188,146642,0.319441,0.000228
104,115,0.320,1.25,7627,0,1234385.6,4509.6,525,0.000378,0.463,0.0,0.0,32.0,86025,147419,0.319818,0.000289
105,116,0.318,1.25,7658,0,1234385.6,4509.6,530,0.000376,0.272,0.0,0.0,32.0,86858,148198,0.317474,0.000214
106,117,0.317,1.25,7566,0,1234385.6,4509.6,535,0.000373,0.269,0.0,0.0,32.0,87698,148980,0.317075,0.000239
107,118,0.321,1.25,7605,0,1234385.6,4509.6,540,0.000370,0.467,0.0,0.0,32.0,88531,149758,0.320577,0.000255
108,119,0.320,1.25,7535,0,1234385.6,4509.6,545,0.000368,0.528,0.0,0.0,32.0,89378,150541,0.320172,0.000235
109,120,0.325,1.25,7588,0,1234385.6,4509.6,550,0.000365,0.731,0.0,0.0,32.0,90214,151319,0.325120,0.000185
110,121,0.320,1.25,7612,0,1234385.6,4509.6,555,0.000363,0.330,0.0,0.0,32.0,91051,152099,0.319355,0.000216
111,122,0.319,1.25,7658,0,1234385.6,4509.6,560,0.000360,0.381,0.0,0.0,32.0,91880,152873,0.318644,0.000218
